Project Name,Package Name,Type Name,LCOM,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,FANIN,FANOUT
.,org.gjt.sp.jedit.options,SelectionHandler,-1,0,0,1,1,5,1,0,0,0,0
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,29,7,0,0,0,0
.,org.gjt.sp.jedit.options,MouseHandler,-1,0,0,1,1,11,3,0,0,0,1
.,org.gjt.sp.jedit.options,BrowserColorsModel,0.4375,3,0,16,10,115,27,0,0,1,3
.,org.gjt.sp.jedit.options,Entry,0,2,0,1,0,8,1,0,0,3,0
.,org.gjt.sp.jedit.options,ColorRenderer,-1,0,0,2,1,19,4,0,0,0,1
.,org.gjt.sp.jedit.options,ModeSettingsPane,0.25,40,0,12,2,287,24,0,2,1,6
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,13,3,0,0,0,0
.,org.gjt.sp.jedit.options,ModeProperties,0.5,19,0,4,0,115,11,0,0,1,2
.,org.gjt.sp.jedit.options,ShortcutsOptionPane,0.214285714,17,1,42,28,450,95,0,2,0,14
.,org.gjt.sp.jedit.options,HeaderMouseHandler,-1,0,0,1,1,17,4,0,0,0,1
.,org.gjt.sp.jedit.options,TableMouseHandler,-1,0,0,1,1,10,3,0,0,0,2
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,63,14,0,0,0,4
.,org.gjt.sp.jedit.options,ShortcutsModel,0.142857143,4,1,14,12,100,30,0,0,3,4
.,org.gjt.sp.jedit.options,KeyCompare,0,1,0,2,1,26,7,0,0,0,1
.,org.gjt.sp.jedit.options,KeymapsModel,0,2,0,7,4,33,11,0,0,2,2
.,org.gjt.sp.jedit.options,KeymapCellRenderer,-1,0,0,1,1,8,1,0,0,0,1
.,org.gjt.sp.jedit.options,GlobalOptions,-1,0,0,8,5,44,10,0,2,0,5
.,org.gjt.sp.jedit.options,PrintOptionPane,0.666666667,10,0,3,1,62,3,0,2,0,2
.,org.gjt.sp.jedit.options,StatusBarOptionPane,0.214285714,30,0,14,8,369,41,0,2,0,9
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,58,12,0,0,0,1
.,org.gjt.sp.jedit.options,ListHandler,-1,0,0,1,1,5,1,0,0,0,0
.,org.gjt.sp.jedit.options,WidgetListCellRenderer,-1,0,0,1,1,10,2,0,0,0,1
.,org.gjt.sp.jedit.options,WidgetSelectionDialog,0.333333333,9,0,6,4,129,16,0,1,2,4
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,21,5,0,0,0,0
.,org.gjt.sp.jedit.options,EditModesPane,0.2,9,0,15,10,247,42,0,2,1,9
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,21,4,0,0,0,4
.,org.gjt.sp.jedit.options,MyCellRenderer,-1,0,0,1,1,10,1,0,0,0,1
.,org.gjt.sp.jedit.options,MyListSelectionListener,-1,0,0,1,1,13,3,0,0,0,0
.,org.gjt.sp.jedit.options,EditingOptionPane,0.666666667,3,0,3,1,32,3,0,2,0,3
.,org.gjt.sp.jedit.options,EncodingsOptionPane,0.666666667,6,0,3,1,85,13,0,2,0,5
.,org.gjt.sp.jedit.options,SyntaxHiliteOptionPane,0.333333333,7,1,18,10,146,30,0,2,5,11
.,org.gjt.sp.jedit.options,MouseHandler,-1,0,0,1,1,16,4,0,0,0,4
.,org.gjt.sp.jedit.options,StyleTableModel,0.416666667,4,0,12,8,89,21,0,0,1,8
.,org.gjt.sp.jedit.options,StyleChoice,0,3,0,2,1,13,2,0,0,2,1
.,org.gjt.sp.jedit.options,StyleRenderer,-1,0,0,2,1,20,4,0,0,0,3
.,org.gjt.sp.jedit.options,TextAreaOptionPane,0.272727273,37,0,11,11,285,24,0,2,0,7
.,org.gjt.sp.jedit.options,FontList,0.4,6,0,5,5,103,16,0,0,1,3
.,org.gjt.sp.jedit.options,FontItemRenderer,-1,0,0,1,1,8,1,0,0,0,0
.,org.gjt.sp.jedit.options,UndoPane,0.666666667,2,0,3,1,23,3,0,2,1,1
.,org.gjt.sp.jedit.options,LargeFilesOptionPane,0.666666667,4,0,3,1,56,9,0,2,0,1
.,org.gjt.sp.jedit.options,AbbrevsOptionPane,0.2,13,0,25,13,286,54,0,2,0,9
